timestamp,frame_number,object_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,zone_violation,zone_name,track_length,movement_status
2025-09-27T13:59:10.947927,2,,person,0.8850463032722473,0,134,635,479,0,0,False,,0,
2025-09-27T13:59:11.519611,3,,person,0.805911660194397,0,172,587,479,0,0,False,,0,
2025-09-27T13:59:12.075512,4,,person,0.7915552258491516,1,180,623,479,0,0,False,,0,
2025-09-27T13:59:12.668456,5,,person,0.6817032098770142,3,180,626,479,0,0,False,,0,
2025-09-27T13:59:13.157688,6,,person,0.6870761513710022,1,160,633,479,0,0,False,,0,
2025-09-27T13:59:13.785042,7,,person,0.8358854651451111,0,165,634,479,0,0,False,,0,
2025-09-27T13:59:14.436220,8,,person,0.6703168749809265,0,175,635,479,0,0,False,,0,
2025-09-27T13:59:14.982345,9,,person,0.7855772972106934,0,174,555,479,0,0,False,,0,
2025-09-27T13:59:15.686885,10,,person,0.8409683704376221,0,174,510,479,0,0,False,,0,
2025-09-27T13:59:16.252547,11,,person,0.8036493062973022,0,172,581,479,0,0,False,,0,
2025-09-27T13:59:16.790494,12,,cat,0.5366546511650085,0,0,429,479,0,0,False,,0,
2025-09-27T13:59:17.468194,13,,person,0.7975513935089111,0,16,409,479,0,0,False,,0,
2025-09-27T13:59:17.968167,14,,person,0.8557627201080322,104,59,519,479,0,0,False,,0,
2025-09-27T13:59:18.600580,15,,person,0.8814423084259033,0,85,433,479,0,0,False,,0,
2025-09-27T13:59:19.231404,16,,person,0.8197919726371765,70,120,554,480,0,0,False,,0,
2025-09-27T13:59:19.756306,17,,person,0.7935784459114075,38,56,436,480,0,0,False,,0,
2025-09-27T13:59:20.403640,18,,person,0.8944430351257324,27,1,639,477,0,0,False,,0,
2025-09-27T13:59:20.965363,19,,person,0.8488561511039734,75,0,615,476,0,0,False,,0,
2025-09-27T13:59:21.551533,20,,person,0.9055440425872803,11,0,627,480,0,0,False,,0,
2025-09-27T13:59:22.198373,21,,person,0.9321726560592651,11,0,635,479,0,0,False,,0,
2025-09-27T13:59:22.741232,22,,person,0.8416485786437988,6,0,637,480,0,0,False,,0,
2025-09-27T13:59:23.336124,23,,person,0.9057539105415344,6,0,638,475,0,0,False,,0,
